type,value,source,date,extra
url,https://alt-5torag.termocenter.in.net/verification.google,URLhaus,2026-03-19 08:48:07 UTC,"{""threat"": ""malware_download""}"
url,http://59.97.178.185:50226/bin.sh,URLhaus,2026-03-19 08:47:23 UTC,"{""threat"": ""malware_download""}"
url,https://ju80r.termocenter.in.net/verification.google,URLhaus,2026-03-19 08:44:05 UTC,"{""threat"": ""malware_download""}"
url,http://196.189.111.43:36930/bin.sh,URLhaus,2026-03-19 08:42:24 UTC,"{""threat"": ""malware_download""}"
url,https://loya-cache.termocenter.in.net/verification.google,URLhaus,2026-03-19 08:38:08 UTC,"{""threat"": ""malware_download""}"
url,https://specime7-layer.bonflac.in.net/verification.google,URLhaus,2026-03-19 08:32:07 UTC,"{""threat"": ""malware_download""}"
url,https://gu1d-phase.bonflac.in.net/verification.google,URLhaus,2026-03-19 08:27:06 UTC,"{""threat"": ""malware_download""}"
url,http://119.116.34.193:46111/i,URLhaus,2026-03-19 08:27:06 UTC,"{""threat"": ""malware_download""}"
url,http://113.64.250.2:34789/i,URLhaus,2026-03-19 08:22:06 UTC,"{""threat"": ""malware_download""}"
url,http://115.54.106.42:50789/i,URLhaus,2026-03-19 08:21:17 UTC,"{""threat"": ""malware_download""}"
url,https://hyper-guid3.botslap.in.net/verification.google,URLhaus,2026-03-19 08:21:07 UTC,"{""threat"": ""malware_download""}"
url,http://115.54.106.42:50789/bin.sh,URLhaus,2026-03-19 08:20:20 UTC,"{""threat"": ""malware_download""}"
url,https://watc5-field.botslap.in.net/verification.google,URLhaus,2026-03-19 08:15:08 UTC,"{""threat"": ""malware_download""}"
url,http://80.89.237.130/1.exe,URLhaus,2026-03-19 08:14:12 UTC,"{""threat"": ""malware_download""}"
url,http://117.198.22.255:33949/i,URLhaus,2026-03-19 08:12:18 UTC,"{""threat"": ""malware_download""}"
url,https://jijbgf8.regwan.in.net/verification.google,URLhaus,2026-03-19 08:10:07 UTC,"{""threat"": ""malware_download""}"
url,https://294asm.regwan.in.net/verification.google,URLhaus,2026-03-19 08:03:07 UTC,"{""threat"": ""malware_download""}"
url,http://119.116.34.193:46111/bin.sh,URLhaus,2026-03-19 08:02:08 UTC,"{""threat"": ""malware_download""}"
url,https://theorfier.yardnext.in.net/verification.google,URLhaus,2026-03-19 07:58:07 UTC,"{""threat"": ""malware_download""}"
url,http://95.9.35.137:39997/i,URLhaus,2026-03-19 07:57:06 UTC,"{""threat"": ""malware_download""}"
url,https://4agat.yardnext.in.net/verification.google,URLhaus,2026-03-19 07:52:07 UTC,"{""threat"": ""malware_download""}"
url,http://185.146.232.224/mipsel,URLhaus,2026-03-19 07:49:27 UTC,"{""threat"": ""malware_download""}"
url,http://185.146.232.224/aarch64,URLhaus,2026-03-19 07:49:26 UTC,"{""threat"": ""malware_download""}"
url,http://185.146.232.224/i486,URLhaus,2026-03-19 07:49:26 UTC,"{""threat"": ""malware_download""}"
url,http://185.146.232.224/armv7l,URLhaus,2026-03-19 07:49:25 UTC,"{""threat"": ""malware_download""}"
url,http://185.146.232.224/x86,URLhaus,2026-03-19 07:49:25 UTC,"{""threat"": ""malware_download""}"
url,http://185.146.232.224/spc,URLhaus,2026-03-19 07:49:22 UTC,"{""threat"": ""malware_download""}"
url,http://185.146.232.224/ppc,URLhaus,2026-03-19 07:49:22 UTC,"{""threat"": ""malware_download""}"
url,http://185.146.232.224/mips,URLhaus,2026-03-19 07:49:21 UTC,"{""threat"": ""malware_download""}"
url,http://185.146.232.224/sh4,URLhaus,2026-03-19 07:49:20 UTC,"{""threat"": ""malware_download""}"
url,http://185.146.232.224/x86-64,URLhaus,2026-03-19 07:49:20 UTC,"{""threat"": ""malware_download""}"
url,http://185.146.232.224/sparc,URLhaus,2026-03-19 07:49:18 UTC,"{""threat"": ""malware_download""}"
url,http://185.146.232.224/arm,URLhaus,2026-03-19 07:49:18 UTC,"{""threat"": ""malware_download""}"
url,http://185.146.232.224/powerpc,URLhaus,2026-03-19 07:49:18 UTC,"{""threat"": ""malware_download""}"
url,http://185.146.232.224/armv6l,URLhaus,2026-03-19 07:49:18 UTC,"{""threat"": ""malware_download""}"
url,http://185.146.232.224/m68k,URLhaus,2026-03-19 07:49:17 UTC,"{""threat"": ""malware_download""}"
url,http://59.183.132.38:42371/i,URLhaus,2026-03-19 07:48:42 UTC,"{""threat"": ""malware_download""}"
url,http://185.146.232.224/mpsl,URLhaus,2026-03-19 07:48:17 UTC,"{""threat"": ""malware_download""}"
url,https://mntdtg1.runfast.in.net/verification.google,URLhaus,2026-03-19 07:47:06 UTC,"{""threat"": ""malware_download""}"
url,https://geo-d3p1.runfast.in.net/verification.google,URLhaus,2026-03-19 07:43:08 UTC,"{""threat"": ""malware_download""}"
url,https://publishbrigh.devopsn.in.net/verification.google,URLhaus,2026-03-19 07:40:11 UTC,"{""threat"": ""malware_download""}"
url,http://95.9.35.137:39997/bin.sh,URLhaus,2026-03-19 07:37:06 UTC,"{""threat"": ""malware_download""}"
url,http://117.205.162.25:56761/i,URLhaus,2026-03-19 07:34:11 UTC,"{""threat"": ""malware_download""}"
url,http://110.39.233.197:52674/i,URLhaus,2026-03-19 07:32:06 UTC,"{""threat"": ""malware_download""}"
